NORAD Number,COSPAR Number,Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Expected Lifetime (yrs.)
48288,2021-036N,LEO - Non-Polar Inclined,0.0,548,561,0.001738200294156973,53,95.6,260.0,4.0
48410,2021-038BK,LEO - Non-Polar Inclined,0.0,260,280,0.002894356005788712,53,95.6,260.0,4.0
48284,2021-036J,LEO - Non-Polar Inclined,0.0,548,561,0.001738200294156973,53,95.6,260.0,4.0
48280,2021-036E,LEO - Non-Polar Inclined,0.0,548,561,0.001738200294156973,53,95.6,260.0,4.0
48287,2021-036M,LEO - Non-Polar Inclined,0.0,548,561,0.001738200294156973,53,95.6,260.0,4.0
48276,2021-036A,LEO - Non-Polar Inclined,0.0,548,561,0.001738200294156973,53,95.6,260.0,4.0
48406,2021-038BF,LEO - Non-Polar Inclined,0.0,260,280,0.002894356005788712,53,95.6,260.0,4.0
48277,2021-036B,LEO - Non-Polar Inclined,0.0,548,561,0.001738200294156973,53,95.6,260.0,4.0
48405,2021-038BE,LEO - Non-Polar Inclined,0.0,260,280,0.002894356005788712,53,95.6,260.0,4.0
48401,2021-038BA,LEO - Non-Polar Inclined,0.0,260,280,0.002894356005788712,53,95.6,260.0,4.0
48372,2021-038V,LEO - Non-Polar Inclined,0.0,260,280,0.002894356005788712,53,95.6,260.0,4.0
48394,2021-038AT,LEO - Non-Polar Inclined,0.0,260,280,0.002894356005788712,53,95.6,260.0,4.0
48395,2021-038AU,LEO - Non-Polar Inclined,0.0,260,280,0.002894356005788712,53,95.6,260.0,4.0
48396,2021-038AV,LEO - Non-Polar Inclined,0.0,260,280,0.002894356005788712,53,95.6,260.0,4.0
48400,2021-038AZ,LEO - Non-Polar Inclined,0.0,260,280,0.002894356005788712,53,95.6,260.0,4.0
48362,2021-038K,LEO - Non-Polar Inclined,0.0,260,280,0.002894356005788712,53,95.6,260.0,4.0
